Token	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
none	11.586167	6.815899	10.362393	6.788658	3.726872	0.380353
noodles	11.392135	5.996426	10.754940	6.038677	3.754769	0.208500
nose	11.912093	2.969077	16.051343	0.117010	1.947428	1.783841
not	11.839049	3.610490	12.053186	4.131269	1.506726	0.296641
now	12.118929	4.105949	12.267246	4.857173	1.594357	0.349303
nurse	12.197070	5.452611	11.217661	4.814728	3.522856	0.489449
nuts	14.862293	5.649378	12.650403	5.963868	3.293607	0.389252
of	11.986132	1.587424	12.867783	1.777002	1.619526	0.536704
off	10.873279	2.723724	13.242771	1.848411	1.933930	1.088793
old	10.992985	4.467493	11.955952	-0.532507	4.017678	1.808927
on	11.533513	2.825180	10.775506	3.701432	1.460887	0.246120
open	12.065050	4.398979	15.908822	4.189891	1.264896	1.199810
orange	10.938179	4.625046	15.938179	1.929183	1.435489	2.173846
other	11.053296	4.177413	11.284130	4.980294	1.477849	0.423081
ouch	11.629447	7.151857	11.810591	7.467123	1.946708	0.740048
our	11.782184	4.339064	15.737128	2.704299	1.534573	1.824401
out	11.610719	2.755992	16.213631	2.962000	1.002228	1.009803
outside	11.060380	5.038311	11.200840	5.475678	2.312928	0.659698
oven	12.052554	4.343403	13.023543	3.000449	2.757323	1.006822
over	11.520370	3.734254	12.299972	4.657975	1.450474	0.533512
owl	10.708083	4.757173	9.529492	5.161596	3.480132	0.262903
paint	12.553411	5.698980	11.956666	5.628039	3.139947	0.574088
pajamas	13.228148	3.868474	11.592912	4.640074	2.981534	0.445843
pancake	13.365376	6.987755	11.414355	7.440865	3.460148	0.301006
pants	11.602312	3.182740	12.940984	-1.817260	3.739756	1.714027
paper	11.895912	3.043903	12.446301	2.467253	2.597550	0.913491
park	11.701722	4.253431	10.643982	4.194849	3.003940	0.565563
party	12.481251	3.253515	11.548454	3.388681	3.026883	0.454254
peanut	11.986290	5.752407	13.709493	0.752407	3.912032	2.621869
peas	10.951354	4.258638	9.762360	-0.741362	4.584630	1.231245
pen	12.794601	5.169595	11.357678	5.783269	2.783848	0.455527
