Token	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
lips	11.714359	5.322034	10.813479	6.141334	3.495147	0.229972
listen	11.819305	5.315810	10.710229	5.626750	2.940372	0.649481
little	11.430383	3.047222	11.099038	3.913245	1.507004	0.233793
living	12.202394	3.931374	11.647521	3.651468	3.345280	0.588437
lollipop	11.488148	2.804364	10.697740	3.400851	3.648726	0.152200
long	11.912842	4.153669	12.089197	3.629870	2.319020	1.023483
look	10.710194	3.284011	11.987020	3.687313	1.241946	0.600905
loud	12.054421	3.947173	11.632704	3.500836	3.258876	0.679227
love	12.827821	4.768746	13.468994	5.677851	1.647145	0.588451
lunch	11.712384	2.744835	12.168332	1.577968	2.936706	0.910267
mad	12.041786	5.975966	10.604536	5.467427	3.425340	0.727040
make	11.965018	4.183183	11.537210	4.646119	1.551078	0.522860
man	11.081468	3.854042	11.058596	3.342409	2.869922	0.910919
me	12.394203	1.767078	13.170744	2.181653	1.633036	0.519269
meat	11.165889	4.172398	9.783928	4.580822	3.536244	0.336536
medicine	13.012168	3.446526	11.311675	3.584131	3.423177	0.416678
milk	11.923979	3.539626	11.615456	3.400721	2.577588	0.660545
mine	11.377935	3.991687	11.116313	4.279336	2.786219	0.541160
mommy	11.572399	3.983791	16.572399	4.530983	0.918278	1.384358
money	11.759844	3.828936	10.895245	4.061555	3.155777	0.395571
monkey	11.620986	3.959014	11.955776	3.684790	2.747997	0.866116
moo	11.492911	3.325053	16.492911	-1.407443	2.620660	2.648353
moon	12.000673	2.035898	11.855087	-0.349629	3.405492	1.239900
moose	12.784506	5.467755	11.556137	5.681630	3.685139	0.584634
mop	14.801694	6.203595	12.660505	6.534351	3.745973	0.314946
more	11.696614	3.264248	13.254981	3.851346	1.421665	0.736445
morning	11.763688	2.574916	11.768695	2.707641	2.545855	0.572649
motorcycle	12.871268	4.704485	11.494631	5.129458	3.397056	0.548957
mouse	11.384457	3.254682	11.206933	3.321439	2.926131	0.672074
mouth	11.508712	1.120889	16.135624	-0.432677	1.576614	1.564295
movie	13.552379	3.917051	12.141754	4.606810	3.406500	0.333685
much	11.664302	2.338894	13.235214	1.721257	2.060599	1.107944
muffin	13.407496	4.893746	11.735298	5.148093	3.641108	0.328743
my	11.869695	4.510880	11.926611	5.315945	1.550713	0.309214
myself	11.697707	4.260883	11.319167	4.330135	3.164831	0.398851
nail	13.572915	5.971806	11.287176	6.800572	3.417093	0.269555
nap	12.105588	2.940285	11.299122	1.754532	3.362598	0.929568
napkin	12.758722	4.897607	11.926757	5.528751	3.289973	0.393458
naughty	14.350820	4.400549	12.454481	5.337270	2.914542	0.202446
necklace	12.130423	4.901433	11.757493	3.945732	3.622852	0.713792
need	11.371735	3.856553	11.678670	4.466810	1.941606	0.673177
new	12.216823	5.094426	15.162183	5.206600	1.117858	1.029363
next	11.602075	5.074375	16.602075	4.505515	0.947417	1.641988
nice	11.562436	3.748784	12.963227	4.088462	1.688467	0.676156
night	11.401378	3.282538	12.400492	3.100966	2.372925	1.037487
no	11.486267	3.231404	10.494489	3.727223	1.511763	0.225119
noisy	12.695132	5.808984	12.118264	5.624467	2.967110	0.892838
none	11.112364	6.293087	10.075900	6.644912	3.640560	0.183546
noodles	12.224684	4.769469	11.925731	1.932398	4.075252	1.050216
nose	11.620995	2.644065	12.902532	2.394857	2.184415	0.872616
not	11.946150	3.330374	10.583816	4.054567	1.504361	0.261113
now	11.111627	3.961039	11.452248	4.651723	1.624289	0.380613
nurse	11.846999	4.657664	11.034200	4.514604	3.553425	0.467032
nuts	13.633426	4.526105	11.591569	5.169301	3.600723	0.346939
of	11.814946	1.603475	12.617205	1.877700	1.544234	0.600478
off	11.741938	2.213075	13.895066	1.997504	1.936030	0.996361
old	11.241214	4.393229	11.191616	2.937887	3.122089	1.208292
on	11.656121	2.718494	10.876711	3.475529	1.505644	0.267142
open	11.225717	3.945137	16.189704	1.060024	1.698858	2.286441
orange	11.801269	4.260644	13.030627	4.140038	1.959883	0.966873
other	11.516292	3.942033	11.600122	4.737282	1.589624	0.402759
ouch	11.593887	7.129173	11.482020	7.640055	2.205340	0.453498
our	12.039032	4.517504	14.799487	4.194886	1.624162	1.182647
out	12.330413	2.247144	17.330413	2.414055	1.057292	1.071964
outside	11.521303	4.674046	11.270306	5.071973	2.542025	0.613437
oven	12.184638	3.288046	11.653665	3.326991	3.048251	0.639495
over	12.111692	3.092861	17.111692	3.186671	0.701597	1.227073
owl	11.330737	3.939250	10.680961	3.501146	3.345905	0.760215
paint	13.338398	5.207758	11.715856	5.730114	3.388132	0.318494
pajamas	12.589221	3.566379	11.091300	3.818411	3.209203	0.463748
pancake	12.312845	5.788381	11.210424	6.172220	3.623764	0.333951
pants	11.960178	3.429073	10.495800	2.429132	3.312933	0.869210
paper	11.164508	3.041185	11.015767	2.980144	2.794525	0.688665
park	12.128546	4.003283	10.988706	4.535090	3.049772	0.341258
party	12.046917	3.051157	11.247290	3.179953	3.127735	0.374739
peanut	12.334897	4.920944	17.334897	0.522136	2.326811	3.047804
peas	11.744532	4.072758	16.744532	3.188915	1.037529	1.854688
pen	11.245201	4.900026	11.119833	5.531550	2.929211	0.489299
pencil	14.021489	3.305151	12.107669	3.626700	3.260690	0.351975
penguin	12.401437	5.586628	11.167774	6.052953	3.014727	0.444017
penis	14.181910	6.206813	12.503989	6.632103	3.648705	0.340398
penny	13.479244	3.982167	11.717665	4.527523	3.382252	0.277948
people	11.388351	3.970688	12.339153	3.604572	2.382757	1.019720
person	12.009363	4.097763	11.602927	4.129096	3.216375	0.627750
pick	11.965518	5.568458	14.833728	4.769746	0.357844	2.110026
pickle	14.655478	3.518255	12.369863	3.796970	3.572543	0.186565
picnic	12.315872	3.256352	11.711354	3.653553	3.160440	0.395400
picture	11.775751	2.782096	11.615615	2.683850	2.561684	0.660612
pig	11.502541	3.789383	12.561221	3.163428	2.487715	0.982753
pillow	12.980468	5.332917	11.771592	5.656899	3.035956	0.487592
pizza	11.675827	3.855223	16.675827	2.539136	1.240537	1.969208
plant	12.139769	7.209786	11.231465	8.021487	3.279229	0.625091
plate	11.240101	3.382833	16.240101	-1.617167	2.532702	2.527962
play	11.420713	2.901219	14.684788	3.469171	0.968497	0.843887
playground	12.423456	6.285844	11.272147	7.085884	3.660945	0.291203
please	11.316429	3.931715	11.431596	3.614833	2.477489	1.026752
police	12.272977	4.571136	11.179799	4.924726	3.308526	0.323080
pony	15.286212	5.159374	12.870080	5.750000	3.267365	0.356080
pool	11.499876	3.074280	10.781406	3.165795	3.341362	0.295600
poor	12.489356	5.798585	12.357615	5.722700	2.383836	1.051736
popcorn	13.772103	4.893458	12.091014	5.491427	3.569424	0.302967
popsicle	13.533217	6.763274	11.940474	6.750111	3.909677	0.463503
porch	13.279577	4.155661	11.636928	4.738570	3.633600	0.261029
potato	12.010060	4.332096	11.683736	4.781184	3.388715	0.351479
pour	11.816002	5.380294	10.883333	5.234016	3.136354	0.650457
present	13.473277	3.982352	11.721059	4.596016	3.075645	0.288782
pretend	11.530398	4.323606	16.530398	-0.676394	2.659282	3.044324
pretty	11.634563	4.774799	16.634563	4.893548	0.743805	1.312418
pretzel	13.532371	5.498682	11.980614	5.524348	3.769133	0.387407
pudding	13.351799	5.173212	11.756826	5.401804	3.512679	0.335601
pull	11.081602	5.106165	12.473996	5.681656	1.512253	0.889127
pumpkin	11.037360	5.180030	10.761126	4.954096	3.360596	0.652334
puppy	12.045726	3.912982	12.017695	-1.087018	4.278860	2.043288
purse	11.566601	4.394357	11.048126	3.821779	3.590281	0.725486
push	11.567292	3.141879	12.925345	2.210912	2.610150	1.130615
put	12.350576	2.418043	12.150367	3.654070	1.634536	0.283894
